Result\tTimeType\tTime
real	0m2.905s	sys	0m0.005s	{"totalTime": 1.731092929840088, "processingtime": 0.16930603981018066, "endTime": 1481913812.727901, "startTime": 1481913810.996808, "redisTime": 1.5581839084625244}	user	0m0.002s	
real	0m2.914s	sys	0m0.004s	{"totalTime": 1.7970550060272217, "processingtime": 0.16061162948608398, "endTime": 1481913812.7411, "startTime": 1481913810.944045, "redisTime": 1.628535270690918}	user	0m0.004s	
real	0m2.932s	sys	0m0.000s	{"totalTime": 1.6985819339752197, "processingtime": 0.15566182136535645, "endTime": 1481913812.740365, "startTime": 1481913811.041783, "redisTime": 1.5297930240631104}	user	0m0.007s	
real	0m2.962s	sys	0m0.000s	{"totalTime": 1.7341039180755615, "processingtime": 0.1506361961364746, "endTime": 1481913812.806017, "startTime": 1481913811.071913, "redisTime": 1.579500436782837}	user	0m0.007s	
real	0m3.014s	sys	0m0.007s	{"totalTime": 1.7799429893493652, "processingtime": 0.14168500900268555, "endTime": 1481913812.819536, "startTime": 1481913811.039593, "redisTime": 1.6343145370483398}	user	0m0.000s	
real	0m3.063s	sys	0m0.002s	{"totalTime": 1.7601220607757568, "processingtime": 0.16689491271972656, "endTime": 1481913812.859369, "startTime": 1481913811.099247, "redisTime": 1.589174509048462}	user	0m0.005s	
real	0m3.189s	sys	0m0.007s	{"totalTime": 2.0061287879943848, "processingtime": 0.14130544662475586, "endTime": 1481913813.034263, "startTime": 1481913811.028134, "redisTime": 1.8599529266357422}	user	0m0.000s	
real	0m3.245s	sys	0m0.004s	{"totalTime": 1.9603219032287598, "processingtime": 0.13725638389587402, "endTime": 1481913813.04469, "startTime": 1481913811.084368, "redisTime": 1.8184874057769775}	user	0m0.004s	
real	0m3.372s	sys	0m0.000s	{"totalTime": 2.1319761276245117, "processingtime": 0.1840221881866455, "endTime": 1481913813.179191, "startTime": 1481913811.047215, "redisTime": 1.9428637027740479}	user	0m0.007s	
real	0m3.711s	sys	0m0.007s	{"totalTime": 2.5364320278167725, "processingtime": 0.2464432716369629, "endTime": 1481913813.507488, "startTime": 1481913810.971056, "redisTime": 2.286142110824585}	user	0m0.000s	
real	0m3.732s	sys	0m0.008s	{"totalTime": 2.533919095993042, "processingtime": 0.21052098274230957, "endTime": 1481913813.523411, "startTime": 1481913810.989492, "redisTime": 2.3185744285583496}	user	0m0.000s	
real	0m3.803s	sys	0m0.000s	{"totalTime": 2.568753957748413, "processingtime": 0.23912644386291504, "endTime": 1481913813.602902, "startTime": 1481913811.034148, "redisTime": 2.323307514190674}	user	0m0.007s	
real	0m3.841s	sys	0m0.004s	{"totalTime": 2.5617849826812744, "processingtime": 0.2781867980957031, "endTime": 1481913813.641147, "startTime": 1481913811.079362, "redisTime": 2.2587080001831055}	user	0m0.004s	
real	0m4.014s	sys	0m0.000s	{"totalTime": 2.8033759593963623, "processingtime": 0.31238293647766113, "endTime": 1481913813.838872, "startTime": 1481913811.035496, "redisTime": 2.4813570976257324}	user	0m0.007s	
real	0m4.083s	sys	0m0.000s	{"totalTime": 2.8722898960113525, "processingtime": 0.3191823959350586, "endTime": 1481913813.90407, "startTime": 1481913811.03178, "redisTime": 2.5492281913757324}	user	0m0.007s	
real	0m4.129s	sys	0m0.004s	{"totalTime": 2.8870339393615723, "processingtime": 0.2732391357421875, "endTime": 1481913813.90848, "startTime": 1481913811.021446, "redisTime": 2.6095550060272217}	user	0m0.004s	
real	0m4.136s	sys	0m0.008s	{"totalTime": 2.9879331588745117, "processingtime": 0.32950782775878906, "endTime": 1481913813.937333, "startTime": 1481913810.9494, "redisTime": 2.6537203788757324}	user	0m0.000s	
real	0m4.157s	sys	0m0.007s	{"totalTime": 2.8533689975738525, "processingtime": 0.28796958923339844, "endTime": 1481913813.933357, "startTime": 1481913811.079988, "redisTime": 2.5606637001037598}	user	0m0.000s	
real	0m4.146s	sys	0m0.004s	{"totalTime": 3.0123231410980225, "processingtime": 0.316131591796875, "endTime": 1481913813.996756, "startTime": 1481913810.984433, "redisTime": 2.6893770694732666}	user	0m0.004s	
real	0m4.196s	sys	0m0.000s	{"totalTime": 3.0316178798675537, "processingtime": 0.2731966972351074, "endTime": 1481913814.015653, "startTime": 1481913810.984035, "redisTime": 2.7514564990997314}	user	0m0.007s	
